bid,longitude,latitude,hours,lid,name,address,postalCode,stars,reviewCount,isOpen
ljxNT9p0y7YMPx0fcNBGig,90.1862033,38.896563,"{Monday:0:00:0,Tuesday:16:021:30,Wednesday:16:021:30,Thursday:16:021:30,Friday:16:022:0,Saturday:16:022:0,Sunday:16:021:30}",5,Tony's Restaurant & 3rd Street Cafe,312 Piasa St,62002,3,94,1
wghnIlMb_i5U46HMBGx9ig,110.9999851,32.1323047,"{Monday:11:021:0,Tuesday:11:021:0,Wednesday:11:021:0,Thursday:11:021:0,Friday:11:021:0,Saturday:11:021:0,Sunday:11:021:0}",606,China Dragon Restaurant,"1625 W Valencia Rd, Ste 101103",85746,3,23,0
lk9IwjZXqUMqqOhM774DtQ,86.7988947,36.1483712,"{Monday:7:017:0,Tuesday:7:017:0,Wednesday:7:017:0,Thursday:7:017:0,Friday:7:017:0,Saturday:7:017:0,Sunday:7:017:0}",393,Caviar & Bananas,2031 Broadway,37203,3.5,159,0
ABxoFuzZy5mqQ8C5FJJajQ,75.2380841,40.0283575,"{Tuesday:15:020:30,Wednesday:15:020:30,Thursday:15:020:30,Friday:15:020:30,Saturday:15:020:30,Sunday:15:020:30}",22,Core de Roma,201 Jefferson St,19004,5,12,1
cVBxfMC4lp3DnocjYA3FHQ,113.5087799,53.5496333,"{Monday:0:00:0,Tuesday:10:021:0,Wednesday:10:021:0,Thursday:10:021:0,Friday:10:020:0,Saturday:10:018:0,Sunday:10:018:0}",163,Paws The Cat Cafe,10588 109 Street,T5H 3B2,5,20,0
uI9XODGY_2_ieTE6xJ0myw,82.50505267,28.04620282,"{Monday:11:3021:0,Tuesday:11:3021:0,Wednesday:11:3021:0,Thursday:11:3021:0,Friday:11:3022:0,Saturday:4:022:0}",579,Roman Forum,10440 N Dale Mabry Hwy,33618,4,23,0
JgpnXv_0XhV3SfbfB50nxw,82.506127,27.9605142,"{Monday:11:022:0,Tuesday:11:022:0,Wednesday:11:022:0,Thursday:11:022:0,Friday:11:03:0,Saturday:11:03:0}",579,Joe's Pizza,2038 N Dale Mabry Hwy,33607,4,35,0
Si6LXSR9gvAbmgO5DzV2cw,90.04938,29.87548223,"{Monday:11:022:0,Tuesday:11:022:0,Wednesday:11:022:0,Thursday:11:022:0,Friday:11:022:0,Saturday:11:022:0,Sunday:11:022:0}",246,Lafitte's Landing Seafood House,1700 Lapalco Blvd,70058,2.5,38,0
seKihQKpGGnCeLuELRQPSQ,86.0474634,39.9062952,"{Monday:0:00:0,Tuesday:11:00:0,Wednesday:11:00:0,Thursday:11:022:0,Friday:11:019:0,Saturday:11:01:0,Sunday:11:00:0}",272,Twin Peaks,6880 E 82nd St,46250,3.5,257,1
L_TT0BFmFwORAMaA83K54A,86.1435773,39.8699114,,272,Village Tap Room,838 Broad Ripple Ave,46220,2.5,23,0
qfWJmJ0g96eM_fWma3ja0g,75.6036042,39.9615417,,647,Doc Magrogan's Oyster House  West Chester,117 E Gay St,19380,3,114,0
8rb3VYXE37IZix4yOdskw,74.9998214,39.6968014,,665,Sharky's Sports Bar & Grill,820 N Black Horse Pike,8094,2.5,29,1
aCDY7vXYMs54EbYuQScsnQ,75.29498124,39.90369689,"{Monday:0:00:0,Tuesday:11:00:0,Wednesday:11:01:0,Thursday:11:02:0,Friday:11:02:0,Saturday:11:02:0,Sunday:11:023:0}",217,39 North Taproom & Grill,110 S MacDade Blvd,19036,4.5,25,1
x9K0RfZaT_zlw6DklBDzjw,110.925833,32.221667,,606,Gavi Italian Restaurant,"7401 N La Cholla Blvd, Ste 146",85707,3.5,9,0
pJfh3Ct8iL58NZa8taa5w,82.38061535,28.19625239,"{Monday:11:3022:0,Tuesday:11:3023:30,Wednesday:11:3023:30,Thursday:11:3023:30,Friday:11:3023:30,Saturday:10:023:30,Sunday:10:022:0}",644,Top Shelf Sports Lounge,3173 Cypress Ridge Blvd,33544,4.5,95,1
ppFCk9aQkM338Rgwpl2F5A,75.1948936,39.954573,"{Monday:0:00:0,Tuesday:0:00:0,Wednesday:0:00:0,Thursday:0:00:0,Friday:0:00:0,Saturday:0:00:0,Sunday:0:00:0}",445,Wawa,3604 Chestnut St,19104,3,56,1
NZ_bFJma7brQUfln5h1UAg,74.8258209,40.0416285,,77,Super Sushi Kyo Hin,2501 Mt Holly Rd 245,8016,3.5,6,0
IDtLPgUrqorrpqSLdfMhZQ,119.6906718,34.4144445,"{Monday:0:00:0,Tuesday:8:014:0,Wednesday:8:014:0,Thursday:8:014:0,Friday:8:014:0,Saturday:8:014:0,Sunday:8:014:0}",507,Helena Avenue Bakery,"131 Anacapa St, Ste C",93101,4,389,1
YNjyv0gfOr2g8lbmUpTnKg,90.07442743,29.95064672,"{Monday:0:00:0,Tuesday:11:021:0,Wednesday:11:021:0,Thursday:11:021:0,Friday:11:023:0,Saturday:10:3022:0,Sunday:10:3021:0}",399,Copper Vine,1001 Poydras St,70112,4.5,350,1
LhpPSrulqVeTyJeK2xydvQ,75.123327,39.9466899,"{Monday:9:018:0,Tuesday:9:018:0,Wednesday:9:018:0,Thursday:9:018:0,Friday:9:018:0,Saturday:9:018:0}",82,Fresh Fruits & Salads,114 N 3rd St,8102,4.5,6,1
oaboaRBUgGjbo2kfUIKDLQ,86.7759733,36.1626492,"{Monday:8:023:0,Tuesday:8:023:0,Wednesday:8:023:0,Thursday:8:023:0,Friday:8:00:0,Saturday:8:00:30,Sunday:8:023:0}",393,Mike's Ice Cream,129 2nd Ave N,37201,4.5,593,1
RK6cJ9hj53RzOlCBmpTg,82.5023464,27.890814,"{Monday:0:00:0,Tuesday:0:00:0,Wednesday:0:00:0,Thursday:0:00:0,Friday:0:00:0,Saturday:0:00:0,Sunday:0:00:0}",579,Impasto,,33611,5,5,1
knQ4vIgxr85kjlWVVjcpQ,119.7840369,39.476518,"{Monday:0:00:0,Tuesday:10:021:0,Wednesday:10:021:0,Thursday:10:021:0,Friday:10:021:0,Saturday:10:021:0,Sunday:11:018:0}",474,Silver and Blue Outfitters,5191 Meadowood Mall Cir,89502,4.5,5,1
1MeIwdbTnZOBFCKOrgaxuw,90.2127841,38.6172724,"{Monday:11:014:0,Tuesday:16:021:0,Wednesday:16:021:0,Thursday:16:021:0,Friday:16:022:0,Saturday:17:3022:0}",500,Ricardo's Italian Cafe,1931 Park Ave,63104,3.5,80,0
EuRGgOwJ0g1vTj2R04j37Q,89.9896835,38.6012982,"{Monday:12:022:0,Tuesday:12:022:0,Wednesday:12:022:0,Thursday:12:022:0,Friday:12:023:0,Saturday:12:023:0,Sunday:12:022:0}",177,Crafty Crab,51 Ludwig Dr,62208,2.5,14,1
TLZ3eDPLhUzfsWO4ad6Ug,90.0700619,29.9554151,"{Monday:0:00:0,Thursday:15:020:0,Friday:12:020:0,Saturday:12:020:0,Sunday:12:020:0}",399,Mahony's PoBoys & Seafood,901 Iberville St,70112,4,382,1
Dy91wdWkwtI_qgjAIZ0Niw,75.6256733,39.7320886,,670,Taqueria Los Primos,3322 Old Capitol Trl,19808,4,23,1
vje0KIiE7vtpx7JzmBx5LQ,82.767317,27.7694046,"{Tuesday:16:021:0,Wednesday:16:021:0,Thursday:16:021:0,Friday:16:022:0,Saturday:16:022:0}",598,The Pearl,163 107th Ave,33706,4,129,1
VrGxoSNZfSiTG4OqRRGIw,90.4071872,38.5832229,"{Monday:16:021:0,Tuesday:16:021:0,Wednesday:16:021:0,Thursday:16:021:0,Friday:16:022:0,Saturday:16:022:0,Sunday:16:020:0}",500,Sunset 44 Bistro,118 W Adams Ave,63122,4,73,1
VZzivJEbmHItOxNXJB3SpA,86.78947282,36.02636314,"{Monday:9:022:0,Tuesday:9:022:0,Wednesday:9:022:0,Thursday:9:022:0,Friday:9:020:0,Saturday:9:022:0,Sunday:10:022:0}",62,Subway,"330 Franklin Rd, Ste 900d",37027,2.5,14,1
anLQj9AM8vjbcLSIE0iUgg,111.0107602,32.3385723,,606,Papa Murphy's,"7250 North La Cholla, Suite 186",85741,4,22,1
Cdytv_YhJO0W0Ab8t2xLtg,75.1248703,39.8444681,,675,Nipper's Pub,1205 Delsea Dr,8096,3.5,29,1
3BJxmHnvzdwD1zjmSbmyQ,75.16802745,39.96307771,"{Monday:0:00:0,Tuesday:11:022:30,Wednesday:11:022:30,Thursday:11:022:30,Friday:11:022:30,Saturday:11:022:30,Sunday:12:022:30}",445,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,19130,3,137,1
FRYkg_JvsWU9xIXZsEZcVA,90.07949829,29.93338776,"{Monday:17:022:0,Wednesday:17:022:0,Thursday:17:022:0,Friday:17:023:0,Saturday:17:023:0,Sunday:15:020:0}",399,Altamura,2127 Prytania St,70115,3.5,27,0
9C2rpb56aQvW0ViZHK9sPw,110.887843,32.206315,"{Monday:10:02:0,Tuesday:10:02:0,Wednesday:10:02:0,Thursday:10:02:0,Friday:10:02:0,Saturday:10:02:0,Sunday:10:02:0}",606,Home Plate Sports Pub,4880 E 22nd St,85711,3.5,56,1
SZU9c8V2GuREDN5KgyHFJw,119.6850187,34.4087147,"{Monday:0:00:0,Tuesday:11:021:0,Wednesday:11:021:0,Thursday:11:014:0,Friday:11:021:0,Saturday:11:021:0,Sunday:11:021:0}",507,Santa Barbara Shellfish Company,230 Stearns Wharf,93101,4,2404,1
Lx8ZYUJ_3Aa8N821mN1WQ,119.7355322,39.5371788,"{Monday:10:019:0,Tuesday:10:019:0,Wednesday:10:019:0,Thursday:10:019:0,Friday:10:019:0,Saturday:9:019:0}",539,ALM Kainan,"390 N McCarran Blvd, Ste B",89434,4,13,0
WYYdQDjxDsCanlP0DpImQ,75.1574339,39.9470334,"{Tuesday:11:022:0,Wednesday:11:022:0,Thursday:11:022:0,Friday:11:022:30,Saturday:12:022:30,Sunday:12:022:0}",445,J Sushi,243 S 10th St,19107,4.5,72,0
aNtKyc2rruK5cqzY9TVQQ,82.779866,27.894167,"{Monday:0:00:0,Tuesday:10:4522:0,Wednesday:10:4522:0,Thursday:10:4522:0,Friday:10:4522:0,Saturday:10:4522:0,Sunday:10:4522:0}",308,Chipotle Mexican Grill,10160 Ulmerton Rd,33771,3,19,1
X_E7U2lVNEwbH_gpOBmAHQ,86.776016,36.162799,"{Monday:0:00:0,Wednesday:11:022:0,Thursday:11:022:0,Friday:11:01:0,Saturday:11:01:0,Sunday:11:022:0}",393,Cerveza Jack's,135 2nd Ave N,37201,4,182,1
G4lRmwDHdvhZAhmtlsYYBw,86.76744627,36.11207574,"{Monday:10:00:0,Tuesday:10:00:0,Wednesday:10:00:0,Thursday:10:00:0,Friday:10:01:0,Saturday:10:01:0,Sunday:10:00:0}",393,Wendy's,741 Thompson Ln,37204,1.5,37,1
BxhkoR6cscJwwex8gx31OA,86.700179,36.296536,"{Monday:10:020:30,Tuesday:10:020:30,Wednesday:10:020:30,Thursday:10:020:30,Friday:10:021:30,Saturday:10:021:30,Sunday:10:020:0}",332,BarBCutie,1787 Gallatin Pike N,37115,3.5,40,1
Ms5xG8i4p80KSMcF3tt4ug,74.8056572,40.2668877,"{Monday:16:020:0,Tuesday:16:020:0,Wednesday:16:3020:0,Thursday:16:020:0,Friday:16:3021:0,Saturday:16:3021:0,Sunday:16:3020:0}",174,Sal DeForte's Ristorante,1400 Parkway Ave,8628,4,52,1
ORL4JE6tz3rJxVqkdKfegA,86.69431917,36.21159231,"{Monday:0:00:0,Tuesday:0:00:0,Wednesday:0:00:0,Thursday:0:00:0,Friday:0:00:0,Saturday:0:00:0,Sunday:0:00:0}",393,Gaylord Opryland Resort & Convention Center,2800 Opryland Dr,37214,3,1639,1
P10BsKUeoeCeVoK4BS2u0w,82.3260903,27.8652573,,482,Trust Me BBQ,8624 US Hwy 301 S,33569,4,29,0
7Du9oW73YcYFmXdtU5aiSg,82.7339127,27.7972626,"{Monday:12:022:0,Tuesday:12:022:0,Wednesday:12:022:0,Thursday:12:022:0,Friday:12:01:0,Saturday:12:01:0,Sunday:12:022:0}",502,Kinjo's Japanese Restaurant,2875 Tyrone Blvd N,33710,3.5,17,0
QjV4v7q_pt7tt3K1US7IHg,82.3995484,28.05488827,"{Monday:11:021:0,Tuesday:11:021:0,Wednesday:11:021:0,Thursday:11:021:0,Friday:11:021:0,Saturday:11:021:0,Sunday:11:021:0}",579,PDQ Temple Terrace,5112 E Fowler Ave,33617,3,5,1
LGqiubTmpJA1L5n7dmc6g,90.045817,29.8753202,"{Monday:10:01:0,Tuesday:10:01:0,Wednesday:10:01:0,Thursday:10:01:0,Friday:10:01:0,Saturday:10:01:0,Sunday:10:01:0}",246,Domino's Pizza,"1525 Lapalco Blvd, # A",70058,1.5,14,0
59jkCUm4yHciKL1KW_1HJA,75.13108984,40.22952697,"{Monday:10:022:0,Tuesday:10:022:0,Wednesday:10:022:0,Thursday:10:022:0,Friday:10:023:0,Saturday:10:023:0,Sunday:11:022:0}",635,Roma Pizza & Italian Eatery,1103 Main St,18976,2.5,25,1
yM8LlTInbQH4FwWC97lz6w,90.22194207,38.61249518,"{Monday:0:00:0,Tuesday:0:00:0,Wednesday:0:00:0,Thursday:0:00:0,Friday:0:00:0,Saturday:0:00:0,Sunday:0:00:0}",557,McDonald's,1919 S Jefferson,63104,1.5,100,1
CtMEJxpVMlNzFpB4PtFjfA,82.396367,28.19219104,"{Monday:0:00:0,Tuesday:11:021:0,Wednesday:11:021:0,Thursday:11:021:0,Friday:11:021:0,Saturday:11:022:0,Sunday:11:021:0}",329,Aussie Grill,25340 Sierra Center Blvd,33559,4,75,1
O1oZpbZNDMH_gz8DhsZCdA,75.1150148,40.012141,"{Monday:10:02:0,Tuesday:10:02:0,Wednesday:10:02:0,Thursday:10:02:0,Friday:10:02:0,Saturday:10:02:0,Sunday:10:02:0}",445,Wendy's,700 E. Hunting Park,19124,1.5,15,1
vPcfJ3rm3NpdqVDod2WxLA,74.9265858,40.2177843,"{Monday:11:022:0,Tuesday:11:022:0,Wednesday:11:022:0,Thursday:11:022:0,Friday:11:023:0,Saturday:11:023:0}",304,China Pearl,2E Summit Sq Shopping Ctr,19047,1.5,27,1
pmuuoDqNZp7518AUdYmPA,75.3799748,40.1124813,"{Tuesday:7:013:0,Wednesday:7:013:0,Thursday:7:013:0,Friday:7:014:0,Saturday:7:014:0,Sunday:8:013:0}",289,Bagelicious  King Of Prussia,216 W Beidler Rd,19406,3.5,60,1
IYlUaKC9nICjiWdkShPlg,86.130124,39.976614,"{Monday:7:014:0,Tuesday:7:014:0,Wednesday:7:014:0,Thursday:7:014:0,Friday:7:014:0,Saturday:7:014:0,Sunday:7:014:0}",83,Bub's Cafe,220 2nd St SW,46032,4,175,0
tSFXJ0GFl5iUdy021YgWLw,86.1241235,39.781126,"{Monday:11:021:0,Tuesday:11:021:0,Wednesday:11:021:0,Thursday:11:021:0,Friday:11:022:0,Saturday:11:022:0,Sunday:11:017:0}",272,The Mad Griddle,2127 E 10th St,46201,5,7,1
ZU6NodDOWaabGkeNpOWdXw,82.7989008,27.96574711,"{Tuesday:11:023:0,Wednesday:11:023:0,Thursday:11:023:0,Friday:11:023:0,Saturday:16:023:0}",111,530 Pub & Grill,530 Cleveland St,33755,4.5,6,1
Dtuf4vD0znzwJW9vk3iTNw,86.1212129,39.8887246,"{Monday:0:00:0,Tuesday:16:3022:0,Wednesday:16:3022:0,Thursday:16:3022:0,Friday:16:3022:30,Saturday:12:022:30,Sunday:12:3021:30}",272,Tomo Japanese Steakhouse and Sushi Bar,"7411 N Keystone Ave, Ste A",46240,4,246,1
8c0r7olQSYGcws0bTd3ikw,82.68244095,28.25021798,"{Monday:11:023:0,Tuesday:11:023:0,Wednesday:11:023:0,Thursday:11:023:0,Friday:11:023:0,Saturday:10:02:0,Sunday:10:021:0}",401,Zesty Tsunami,6614 Osteen Rd,34653,4,5,0
Ucl9Vo5lwrUmYbV8Dv8X5g,82.500588,28.09236,"{Monday:18:02:30,Tuesday:15:01:0,Wednesday:15:01:0,Thursday:15:01:0,Friday:11:3014:45,Saturday:11:3014:45,Sunday:11:3013:0}",579,O'Briens Irish Pub,15435 N Dale Mabry Hwy,33618,4,108,1
6BF3eaIzHtoNHSxKTFnTyg,86.37938636,39.76277415,"{Monday:10:022:0,Tuesday:10:022:0,Wednesday:10:022:0,Thursday:10:022:0,Friday:10:00:0,Saturday:10:00:0,Sunday:12:020:0}",19,Mister B's Cigar Box,8123 E US Hwy 36,46123,3.5,13,1
wjyUxHxkrvUvCOVqy4g_wg,90.299811,38.704765,,410,Oscar's Cafe,7520 Natural Bridge Rd,63121,4,11,0
4IcB3QyMEA85UTWFKh9O9A,90.086423,29.976762,{Tuesday:17:022:0},399,Eat Mah Taco @ Pal's Lounge,949 N Rendon St,70119,4.5,8,0
Y6heWJJ9AmEL58fZwgi9YQ,111.0303099,32.33872352,"{Monday:0:00:0,Tuesday:10:300:0,Wednesday:10:300:0,Thursday:10:3020:0,Friday:10:301:0,Saturday:10:301:0,Sunday:10:300:0}",606,Rosati's Pizza,2944 W Ina Rd,85741,4,58,1
bTve2mwLk5Zc01vRKqc2KQ,75.1496356,39.9385518,"{Monday:7:018:0,Tuesday:7:018:0,Wednesday:7:018:0,Thursday:7:018:0,Friday:7:018:0,Saturday:7:018:0,Sunday:7:018:0}",445,Red Hook Coffee & Tea,765 S 4th St,19147,4.5,183,1
xbRbvXSAVZBEwaUUn3mzbg,82.50631042,28.07873479,"{Monday:11:023:0,Tuesday:11:023:0,Wednesday:11:023:0,Thursday:11:023:0,Friday:11:023:0,Saturday:11:023:0,Sunday:11:022:0}",579,Lee Roy Selmon's,14457 N Dale Mabry Hwy,33618,3.5,42,0
uDQgmudYDKiB6n4vwbEeDg,86.80271994,35.95653286,"{Monday:0:00:0,Tuesday:11:021:0,Wednesday:11:021:0,Thursday:11:022:0,Friday:11:022:0,Saturday:11:022:0}",196,Chrysalis,9040 Carothers Pkwy,37067,4.5,112,1
v5kwdvmgJ8gll0nkc3Sw,86.15677536,39.76724889,"{Tuesday:16:00:0,Wednesday:16:00:0,Thursday:16:00:0,Friday:16:01:0,Saturday:16:01:0}",272,The Libertine Liquor Bar,38 E Washington St,46204,4,208,0
bqmX882_6AxVA_uHEQ70sQ,75.20334572,39.95161538,,445,Shanghai Station,4002 Spruce St,19104,4,46,0
Edg22x3CZkIv0GUib2oEFA,90.13125028,29.94862362,"{Monday:0:00:0,Tuesday:11:021:0,Wednesday:12:022:0,Thursday:11:022:0,Friday:11:023:0,Saturday:11:023:0,Sunday:11:022:0}",399,Mellow Mushroom,8227 Oak St,70118,3.5,149,0
VVvUBlc_WIEb8obKGq39dA,82.53778662,27.98039859,"{Monday:5:021:30,Tuesday:5:021:30,Wednesday:5:021:30,Thursday:5:021:30,Friday:5:021:30,Saturday:5:021:30,Sunday:5:021:30}",579,Four Green Fields,"4100 George J Bean Pkwy, Airside E, Tampa International Airport",33607,4.5,39,1
py5aKmlTB2NarfsfcOpHOQ,82.5374233,27.9767745,"{Monday:0:00:0,Tuesday:0:00:0,Wednesday:0:00:0,Thursday:0:00:0,Friday:0:00:0,Saturday:0:00:0,Sunday:0:00:0}",579,Cafe Con Leche,4100 George J Bean Pkwy,33607,2.5,55,1
wZhGuW7vQpfhxeEvLHkTrA,116.3871392,43.6196488,"{Monday:7:014:0,Tuesday:6:3014:0,Wednesday:6:3014:0,Thursday:6:3014:0,Friday:6:3014:0,Saturday:6:3014:30,Sunday:7:014:30}",363,Express Cafe,400 E Fairview Ave,83642,4.5,119,1
YR0nwxBOKk6DiLHNItfsBQ,113.6166452,53.625071,"{Monday:11:022:0,Tuesday:11:022:0,Wednesday:11:022:0,Thursday:11:022:0,Friday:11:00:0,Saturday:11:00:0,Sunday:11:022:0}",546,Boston Pizza,200 St. Albert Rd,T8N 5H9,3.5,14,1
n8ecak12IF_jhnPNs37AZA,75.1161695,39.9768798,"{Tuesday:9:017:0,Wednesday:9:017:0,Thursday:9:017:0,Friday:9:017:0,Saturday:9:016:0,Sunday:8:014:0}",445,Baltic Bakery,2609 Edgemont St,19125,4.5,12,1
jcL_qaGJiappzpnnifSoA,113.4951554,53.5515508,,163,Fat Jakks,10126  107 Avenue NW,T5H 0V6,4,8,0
_T0cPZE2ZJOTTlYYKMP64Q,75.2253784,39.9563959,"{Monday:9:022:0,Tuesday:9:022:0,Wednesday:9:022:0,Thursday:9:023:0,Friday:9:023:0,Saturday:9:023:0,Sunday:11:020:0}",445,Brown Sugar Bakery & Cafe,219 S 52nd St,19139,4.5,66,1
dJfkfBbJz7wi0RgWph_Eg,82.399374,28.055212,"{Monday:11:023:0,Tuesday:11:02:0,Wednesday:11:02:0,Thursday:11:02:0,Friday:11:02:0,Saturday:12:302:0,Sunday:12:3022:0}",579,Sake House,5106 E Fowler Ave,33617,3,140,0
VbItL6RDULtnw4YvB6EhVg,75.1477446,39.9412993,"{Monday:11:00:0,Tuesday:11:00:0,Wednesday:11:00:0,Thursday:11:00:0,Friday:11:02:0,Saturday:11:02:0,Sunday:11:00:0}",445,Jon's Bar & Grille,300 South St,19147,3,178,0
W57cR9a7XP6RX56MSWHJJA,90.074887,29.95029,"{Monday:0:00:0,Tuesday:11:022:0,Wednesday:11:022:0,Thursday:11:022:0,Friday:11:022:30,Saturday:11:017:0,Sunday:11:021:0}",399,Las Margaritas,514 S Rampart St,70163,3.5,58,0
x7_p5O3ChQa7shdHCcLHZQ,90.0715323,29.9510658,,399,Olivier's Creole Restaurant,204 Decatur St,70130,3.5,172,0
JF7iyI3wA_AKi_iXOKi0Qw,75.288802,40.008645,"{Monday:11:3022:0,Tuesday:11:3022:0,Wednesday:11:3022:0,Thursday:11:3022:0,Friday:11:3023:0,Saturday:11:3023:0,Sunday:11:3022:0}",10,Parlor Suburban Square,30 Parking Plz,19003,3.5,61,0
xa6JYHDgVza7CuenKBJBHw,86.6254189,36.191654,"{Tuesday:10:021:0,Wednesday:17:3021:0,Thursday:10:021:0,Friday:10:021:0,Saturday:10:021:0,Sunday:12:020:0}",253,Taqueria El Sitio,3466 A Lebanon Pike,37076,4.5,8,0
1dSKEitDDgIkaApe6UNMSA,86.8433279,36.1530043,"{Monday:0:00:0,Friday:11:018:0,Saturday:11:018:0,Sunday:11:018:0}",393,The Pepper Pott,4611 Alabama Ave,37209,5,18,1
rZw9O5lJ36m_mXeRKE4G9A,75.70445103,40.00620751,"{Tuesday:11:3021:0,Wednesday:11:3021:0,Thursday:11:3021:0,Friday:11:3022:0,Saturday:11:3022:0,Sunday:11:3021:0}",140,La Sponda,20 E Lancaster Ave,19335,4.5,29,1
